ONBOARD,VESSEL,POL,NATION,DESTINATION,20`,RATE,EX-RATE,O/FRT KRW,THC,W/F,D/FEE,합계
2014-01-01,NYK PHOENIX 50E52,KRPUS,DNA,ESDNA,1,3260.00,1071.3000,"3,492,438","115,000","4,350","30,000","3,641,788"
2014-01-01,HANJIN LOS ANGELES 0120E,KRPUS,NYC,USNYC,1,3980.00,1071.7000,"4,252,232","115,000","4,350","30,000","4,401,582"
2014-01-02,HANJIN MARSEILLES 0162E,KRPUS,NYC,USNYC,1,2720.00,1065.6000,"2,917,472","116,000","4,350","30,000","3,067,822"
2014-01-02,VIENNA EXPRESS 25E52,KRPUS,CHI,USCHI,1,2780.00,1072.3000,"2,980,994","115,000","4,350","30,000","3,130,344"
2014-01-02,HANJIN MARSEILLES 0162E,KRPUS,NYC,USNYC,1,3100.00,1065.6000,"3,303,360","232,000","4,350","30,000","3,569,710"
2014-01-03,BARENTS STRAIT QB599S,KRINC,SGN,VNSGN,1,750.00,1064.4000,"798,300","116,000","4,350","30,000","948,650"
2014-01-03,HANJIN GERMANY 0017E,KRPUS,LGB,USLGB,1,1400.00,1065.9000,"1,492,260","115,000","4,350","30,000","1,641,610"
2014-01-03,HANJIN GERMANY 0017E,KRPUS,LGB,USLGB,1,1400.00,1065.9000,"1,492,260","115,000","4,350","30,000","1,641,610"
2014-01-03,HANJIN GERMANY 0017E,KRPUS,LGB,USLGB,1,1410.00,1065.9000,"1,502,919","115,000","4,350","30,000","1,652,269"
2014-01-03,MAERSK KAWASAKI BE993W,KRPUS,BEY,LBBEY,1,1850.00,1060.6000,"1,962,110","101,000","4,350","30,000","2,097,460"
2014-01-03,XIN DA YANG ZHOU 0070E,KRPUS,ELP,VEELP,1,3300.00,1060.6000,"3,514,830","115,000","4,350","30,000","3,664,180"
2014-01-04,INTRA BHUM 0016S,KRPUS,HKG,HKHKG,1,180.00,1060.6000,"190,908","116,000","4,350","74,000","385,258"
2014-01-04,LANTAU BAY 0002S,KRPUS,HKG,HKHKG,1,220.00,1060.6000,"233,332","116,000","4,200","76,010","429,542"
2014-01-04,HYUNDAI HIGHWAY 290W,KRBUS,FRE,AUFRE,1,800.00,1064.4000,"851,520","115,000","4,350","60,000","1,030,870"
2014-01-04,LANTAU BAY 0002S,KRPUS,HKG,HKHKG,1,1118.00,1060.6000,"1,185,751","424,000","12,600","60,000","1,682,351"
2014-01-05,HEUNG-A BANGKOK 0156S,KRPUS,HKG,HKHKG,1,180.00,1060.6000,"190,908","116,000","4,350","74,000","385,258"
2014-01-06,TAYMA 1401W,KRPUS,BCN,ESBCN,1,1800.00,1064.4000,"1,915,920","116,000","4,350","30,000","2,066,270"
2014-01-06,HYUNDAI TOKYO 069E,KRPUS,OAK,USOAK,1,1900.00,1050.4000,"1,995,760","140,000","4,350","30,000","2,170,110"
2014-01-06,ZIM PANAMA 50E,KRPUS,TPA,USTPA,1,3110.00,1065.7000,"3,314,327","115,000","4,350","30,000","3,463,677"
2014-01-07,HANJIN ASIA 0009W,KRBUS,RTM,NLRTM,1,1650.00,1072.6000,"1,769,790","116,000","4,350","30,000","1,920,140"
2014-01-07,HANJIN ASIA 0009W,KRPUS,SXM,ANSXM,1,3578.00,1072.6000,"3,837,763","232,000","4,350","25,000","4,099,113"
2014-01-08,EVER RESPECT 0622-034E,KRPUS,BAL,USBAL,1,2530.00,1060.6000,"2,683,318","115,000","4,350","30,000","2,832,668"
2014-01-08,CMA CGM NEW JERSEY PG899E,KRPUS,HOU,USHOU,1,2750.00,1078.3000,"2,933,700","101,000","4,350","30,000","3,069,050"
2014-01-09,PRAGUE EXPRESS 24E01,KRPUS,MEM,USMEM,1,2980.00,1065.6000,"3,175,488","115,000","4,350","30,000","3,324,838"
2014-01-09,XIN YA ZHOU 0086E,KRPUS,ELP,VEELP,1,3300.00,1078.3000,"3,545,520","115,000","4,350","30,000","3,694,870"
2014-01-10,WARNOW TROUT 1401S,KRPUS,HKG,HKHKG,1,220.00,1062.2000,"233,684","115,000","4,200","30,000","382,884"
2014-01-10,C-K STAR 14803W,KRPTK,LYG,CNLYG,1,350.00,1076.4000,"376,740","115,000","1,886","30,000","523,626"
2014-01-10,HANJIN SPAIN 0017E,KRPUS,OAK,USOAK,1,1700.00,1075.2000,"1,827,840","232,000","4,350","73,008","2,137,198"
2014-01-11,DAHLIA 0007S,KRINC,HKG,HKHKG,1,220.00,1075.2000,"236,544","116,000","4,200","60,000","416,744"
2014-01-11,SIRI BHUM 0023S,KRPUS,HKG,HKHKG,1,220.00,1075.2000,"236,544","116,000","4,350","60,000","416,894"
2014-01-11,WARNOW TROUT 1401S,KRINC,HKG,HKHKG,1,220.00,1075.2000,"236,544","116,000","4,200","74,000","430,744"
2014-01-11,WARNOW TROUT 1401S,KRINC,HKG,HKHKG,1,518.00,1075.2000,"556,954","177,000","4,200","60,000","798,154"
2014-01-11,WARNOW TROUT 1401S,KRINC,HKG,HKHKG,1,518.00,1075.2000,"556,954","177,000","4,200","60,000","798,154"
2014-01-11,JPO TUCANA 012S,KRBUS,BNE,AUBNE,1,750.00,1075.2000,"806,400","101,000","4,350","30,000","941,750"
2014-01-12,ANTHEA 1401S,KRPUS,JKT,IDJKT,1,450.00,1075.2000,"483,840","116,000","4,350","44,000","648,190"
2014-01-12,STADT FREIBURG 0064-005E,KRPUP,LGB,USLGB,1,1400.00,1076.4000,"1,506,960","115,000","4,350","30,000","1,656,310"
2014-01-12,STADT FREIBURG 0064-005E,KRPUS,LGB,USLGB,1,4060.00,1076.4000,"4,370,184","115,000","4,350","30,000","4,519,534"
2014-01-13,CSCL OSAKA 8050W,KRINC,SHA,CNSHA,1,550.00,1075.2000,"591,360","273,000","13,050","44,000","921,410"
2014-01-14,ASTORIA BRIDGE 045S,KRBUS,MEL,AUMEL,1,700.00,1072.9000,"751,030","116,000","4,350","95,090","966,470"
2014-01-14,HANJIN GREECE 0017W,KRPUS,FXT,GBFXT,1,1736.00,1066.8000,"1,851,965","116,000","4,350","30,000","2,002,315"
2014-01-14,HANJIN SOOHO 0009W,KRPUS,FXT,GBFXT,1,1736.00,1066.8000,"1,851,965","116,000","4,350","44,690","2,017,005"
2014-01-16,HEUNG-A VENUS 0026S,KRPUS,HKG,HKHKG,1,180.00,1072.9000,"193,122","116,000","4,350","74,000","387,472"
2014-01-16,XIN OU ZHOU 0084E,KRPUS,ELP,VEELP,1,3300.00,1072.9000,"3,536,610","115,000","4,350","30,000","3,685,960"
2014-01-17,STAR CARRIER 0249W,KRKWY,SHA,CNSHA,1,10.00,1064.2000,"10,642","101,000",0,"30,000","141,642"
2014-01-17,SFL HUNTER 1401,KRPUS,BLW,IDBLW,1,500.00,1074.6000,"537,300","101,000","4,350","30,000","672,650"
2014-01-17,HANJIN LONG BEACH 0026E,KRPUS,LGB,USLGB,1,1360.00,1073.2000,"1,459,552","115,000","4,350","30,000","1,608,902"
2014-01-17,HANJIN LONG BEACH 0026E,KRPUS,LGB,USLGB,1,1400.00,1073.2000,"1,502,480","115,000","4,350","30,000","1,651,830"
2014-01-17,HANJIN LONG BEACH 0026E,KRPUS,LGB,USLGB,1,1400.00,1073.2000,"1,502,480","115,000","4,350","30,000","1,651,830"
2014-01-17,HANJIN LONG BEACH 0026E,KRPUS,LGB,USLGB,1,1560.00,1074.6000,"1,676,376","116,000","4,350","30,000","1,826,726"
2014-01-17,HANJIN LONG BEACH 0026E,KRPUS,MEM,USMEM,1,3150.00,1073.2000,"3,380,580","115,000","4,350","30,000","3,529,930"
2014-01-18,LANTAU BAY 0003S,KRINC,HKG,HKHKG,1,220.00,1074.6000,"236,412","116,000","4,200","74,000","430,612"
2014-01-18,LANTAU BAY 0003S,KRINC,HKG,HKHKG,1,220.00,1074.6000,"236,412","116,000","4,200","74,210","430,822"
2014-01-18,E.R. MALMO 1401S,KRINC,HKG,HKHKG,1,220.00,1074.6000,"236,412","116,000","4,200","80,390","437,002"
2014-01-18,HANJIN LONG BEACH 0026E,KRKAN,LGB,USLGB,1,2420.00,1074.6000,"2,600,532","115,000",0,"30,000","2,745,532"
2014-01-19,ZHONG TAI 8 3405W,KRINC,DLC,CNDLC,1,180.00,1071.3000,"192,834","115,000","4,200","30,000","342,034"
2014-01-19,BALTIC STRAIT 0008S,KRPUS,JKT,IDJKT,1,450.00,1074.6000,"483,570","116,000","4,350","44,000","647,920"
2014-01-19,HANJIN NEW JERSEY 0003E,KRPUS,LAX,USLAX,1,1640.00,1074.6000,"1,762,344","116,000","4,350","30,000","1,912,694"
2014-01-19,APL TOKYO 041E,KRPUS,OAK,USOAK,1,2100.00,1071.3000,"2,249,730","140,000","4,350","30,000","2,424,080"
2014-01-22,NYK TERRA 31E03,KRPUS,DFW,USDFW,1,3130.00,1066.8000,"3,339,084","115,000","4,350","30,000","3,488,434"
2014-01-22,CSCL SPRING 0001E,KRPUS,ELP,VEELP,1,3420.00,1074.6000,"3,689,496","115,000","4,350","30,000","3,838,846"
2014-01-23,SINOKOR INCHEON 1630W,KRINC,WEI,CNWEI,1,120.00,1078.8000,"129,456","116,000","4,200","30,000","279,656"
2014-01-23,HANJIN ATHENS 0088W,KRPUS,NAP,ITNAP,1,2100.00,1078.8000,"2,265,480","116,000","4,350","73,152","2,458,982"
2014-01-23,HANJIN DURBAN 0041E,KRPUS,NYC,USNYC,1,2750.00,1078.8000,"2,966,700","116,000","4,350","30,000","3,117,050"
2014-01-23,HANJIN ATLANTA 0025E,KRPUS,SAV,USSAV,1,2790.00,1074.6000,"2,998,134","116,000","4,350","30,000","3,148,484"
2014-01-23,HANJIN DURBAN 0041E,KRPUS,NYC,USNYC,1,2850.00,1078.8000,"3,074,580","116,000","4,350","30,000","3,224,930"
2014-01-24,KMTC INCHEON 1402S,KRPUS,JKT,IDJKT,1,450.00,1082.4000,"487,080","116,000","4,350","44,000","651,430"
2014-01-25,SKY PRIDE 013S,KRINC,HNL,USHNL,1,220.00,1064.2000,"234,124","115,000","4,200","76,170","429,494"
2014-01-25,ZI YU LAN 14007W,KRINC,LYG,CNLYG,1,400.00,1082.4000,"432,960","115,000","4,200","30,000","582,160"
2014-01-25,MSC TRIESTE FS404R,KRPUS,BAL,USBAL,1,2750.00,1074.6000,"2,955,150","115,000","4,350","30,000","3,104,500"
2014-01-25,WESTWOOD DISCOVERY 025E,KRPUS,CHI,USCHI,1,2900.00,1078.8000,"3,180,430","115,000","4,350","30,000","3,329,780"
2014-01-26,OSAKA TOWER 0066-007E,KRPUP,LGB,USLGB,1,1560.00,1078.8000,"1,682,928","115,000","4,350","30,000","1,832,278"
2014-01-26,HANJIN KOREA 0023E,KRPUS,OAK,USOAK,1,1560.00,1074.6000,"1,676,376","115,000","4,350","30,000","1,825,726"
2014-01-26,APL WASHINGTON 039E,KRPUS,OAK,USOAK,1,2100.00,1087.7000,"2,284,170","140,000","4,350","30,000","2,458,520"
2014-01-27,CSCL OSAKA 8052W,KRINC,SHA,CNSHA,1,200.00,1082.4000,"216,480","116,000","4,350","62,210","399,040"
2014-01-27,APL COLUMBUS 001W,KRPUS,AQJ,JOAQJ,1,1500.00,1087.7000,"1,631,550","100,000","4,350","30,000","1,765,900"
2014-01-27,KYOTO EXPRESS 49E03,KRPUS,VAN,CAVAN,1,2000.00,1072.4000,"2,144,800","217,000","4,350","30,000","2,396,150"
2014-01-27,AGAMEMNON BEA01W,KRPUS,BEY,LBBEY,1,2100.00,1082.4000,"2,273,040","101,000","4,350","30,000","2,408,390"
2014-01-28,OSAKA TOWER 0066-007E,KRPUS,LGB,USLGB,1,1200.00,1078.8000,"1,294,560","115,000","4,350","30,000","1,443,910"
2014-01-28,OSAKA TOWER 0066-007E,KRPUS,LAX,USLAX,1,1560.00,1078.8000,"1,682,928","115,000","4,350","30,000","1,832,278"
2014-01-29,HANJIN CHINA 0017E,KRPUS,LGB,USLGB,1,1450.00,1094.7000,"1,587,315","115,000","4,350","30,000","1,736,665"
2014-01-30,CMA CGM PUGET PG905E,KRPUS,HOU,USHOU,1,2990.00,1089.7000,"3,233,685","118,000","4,350","30,000","3,386,035"
